Lane Bias File
83
1	1102	11111	11110	1172	1	2
2	1172	11111	00011	1433	0.9	2
3	1172	11111	11100	1434	1	2
4	1435	11111	11100	1194	0.7	2
5	1912	11111	1110	1914	0.6	2
6	1244	11111	1100	1924	1.6	2
7	1244	11111	0011	952	1.2	2
8	578	11111	1110	1881	0.3	2
9	405	11111	11100	1464	0.5	2
10	1092	11111	111000	1408	1.1	2
11	1092	11111	000111	1409	1.2	2
13	1094	11111	00011	1413	1	2
14	1094	11111	11100	1414	1	2
15	1564	11111	0011	1436	0.8	2
16	1487	11111	1100	1417	1.1	2
17	1164	11111	110	1086	0.47	2
18	1487	11111	0011	1416	0.4	2
19	287	11111	110	1095	0.7	2
20	287	11111	0011	1604	0.5	2
21	1424	11111	1110	1095	1.4	2
22	1348	11111	111100	1288	0.9	2
23	1348	11111	000011	2111	0.4	2
24	1363	11111	111100	1270	1	2
25	1363	11111	000011	1282	1	2
26	1280	11111	11110	1363	0.7	2
27	1277	11111	11110	1280	1.1	2
28	286	11111	110	1164	0.3	2
29	1244	11111	11100	1924	1.6	2
30	1244	11111	00011	952	1.2	2
31	1136	11111	111000	1080	1	2
32	1136	11111	000111	951	0.5	2
33	1912	11111	1110	1914	0.6	2
34	1714	11111	11000	225	0.35	2
35	1714	11111	00111	226	1.2	2
36	1016	11111	00001	971	0.4	2
37	1016	11111	11110	1119	1.1	2
38	180	11111	111000	1909	0.45	2
39	180	11111	000111	1905	0.4	2
40	1957	11111	11100	1909	0.7	2
41	1081	11111	110	1107	0.9	2
42	1107	11111	1110	1229	1.2	2
43	1078	11111	110	1575	0.5	2
44	1105	11111	11100	1158	1.3	2
45	1105	11111	00011	412	1.2	2
46	1063	11111	11100	1221	1	2
47	220	11111	011	224	0.7	2
48	220	11111	100	1589	0.4	2
49	1584	11111	11100	1246	0.6	2
50	1584	11111	00011	1582	0.6	2
60	1621	11111	1100	1088	0.8	2
61	1621	11111	0011	1450	0.7	2
62	288	11111	11100	1562	0.6	2
63	1603	11111	11100	288	0.7	2
64	1909	11111	111000	1141	0.9	2
65	1909	11111	000111	1309	0.6	2
66	411	11111	11110	410	0.6	2
67	1465	11111	11110	404	0.5	2
68	1098	11111	11110	1103	1.7	2
69	405	11111	11110	1464	0.5	2
70	1352	11111	11100	121	1.8	2
71	1079	11111	1111000	1137	0.8	2
72	1575	11111	110	1925	0.9	2
73	726	11111	11110	1368	1.5	2
74	1359	11111	11100	1272	0.7	2
75	1360	11111	11110	1359	0.8	2
76	1361	11111	11100	1360	0.8	2
77	1365	11111	11110	1364	1	2
78	1584	11111	11110	1246	0.6	2
79	1388	11111	111100	1365	0.8	2
80	1345	11111	1110	1578	0.45	2
81	1692	11111	1110	290	0.45	2
82	1426	11111	11110	1419	1	2
83	1561	11111	11110	1633	0.7	2
84	1163	11111	11110	1584	0.5	2
85	290	11111	0111	2284	0.7	2
86	290	11111	1000	276	0.37	2
87	1093	11111	00011	1022	0.9	2
88	1633	11111	11110	1094	1	2
89	1247	11111	1110	578	0.87	2
90	1201	11111	11100	1466	1.1	2
91	1124	11111	1110	1130	0.48	2
92	1436	11111	1110	1201	1.2	2
93	1072	11111	110	1078	0.7	2
