Lane Bias File
41
1	740	11111	111000	888	3.2	2
2	742	11111	111000	740	3.5	2
3	585	11111	111000	749	0.6	2
4	749	11111	11100	748	0.9	2
5	602	11111	11110	711	0.9	2
6	711	11111	11100	406	1	2
7	711	11111	00011	1008	1	2
8	686	11111	1110	689	0.8	2
9	678	11111	1110	686	1	2
10	554	11111	000111	853	1.2	3
11	554	11111	111000	358	1.5	3
12	779	11111	111100	744	1.6	2
13	675	11111	11100	745	1.6	2
14	596	11111	1110	593	1.6	2
15	889	11111	111100	553	1	3
16	889	11111	111100	654	1.5	3
17	889	11111	111100	551	1.5	3
18	890	11111	11100	661	1	2
19	375	11111	11100	729	1.6	2
20	553	11111	111000	654	0.54	3
21	553	11111	000111	551	1.1	3
22	515	11111	110	793	0.8	2
23	623	11111	00011	937	0.6	2
24	620	11111	11100	921	1.2	2
25	637	11111	0011	275	0.4	2
26	588	11111	1110	637	1	2
27	563	11111	11100	735	1.4	2
28	609	11111	11100	606 	0.7	2
29	1003	11111	0011	340	0.7	2
30	1003	11111	1100	893	1.4	2
31	343	11111	00011	374	0.8	2
32	343	11111	11100	562	1.1	2
33	561	11111	11100	375	1.4	3
34	621	11111	11100	589	0.8	2
35	949	11111	00111	760	1.4	2
36	594	11111	1100	595	1	2
37	24	11111	110	910	1.3	2
38	586	11111	11110	585	1.4	2
39	362	11111	11100	701	1.5	2
40	710	11111	00111	603	0.8	2
41	706	11111	11100	602	1	2
42	684	11111	1100	596	1	2
